"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 08, 2022","325.00","322.80","333.51","321.21","617.09K","0.68%"
"Aug 07, 2022","322.80","315.20","325.31","308.67","449.01K","2.47%"
"Aug 06, 2022","315.01","315.90","322.61","312.99","422.57K","-0.28%"
"Aug 05, 2022","315.90","311.80","321.40","308.10","682.09K","1.41%"
"Aug 04, 2022","311.50","297.50","313.10","297.30","849.60K","4.70%"
"Aug 03, 2022","297.50","283.80","305.50","278.31","715.47K","4.83%"
"Aug 02, 2022","283.80","283.49","290.81","274.69","652.87K","0.11%"
"Aug 01, 2022","283.49","283.50","290.40","278.10","517.91K","-0.00%"
"Jul 31, 2022","283.50","287.80","296.90","282.21","592.91K","-1.46%"
"Jul 30, 2022","287.70","293.61","299.90","285.10","721.68K","-2.01%"
"Jul 29, 2022","293.61","277.20","301.51","274.90","1.13M","5.92%"
"Jul 28, 2022","277.20","271.60","280.50","263.91","707.00K","2.06%"
"Jul 27, 2022","271.60","249.50","271.89","247.60","687.73K","8.94%"
"Jul 26, 2022","249.30","244.69","249.30","239.70","383.39K","1.88%"
"Jul 25, 2022","244.70","261.49","262.60","244.70","479.42K","-6.42%"
"Jul 24, 2022","261.50","259.20","266.00","257.29","348.73K","0.89%"
"Jul 23, 2022","259.20","262.50","272.31","252.90","510.76K","-1.15%"
"Jul 22, 2022","262.21","265.50","271.30","261.20","527.65K","-1.24%"
"Jul 21, 2022","265.50","258.11","265.90","250.80","569.55K","2.79%"
"Jul 20, 2022","258.30","268.60","272.00","256.70","800.68K","-3.83%"
"Jul 19, 2022","268.60","264.20","274.50","256.00","973.37K","1.51%"
"Jul 18, 2022","264.60","247.80","265.31","247.70","777.09K","6.78%"
"Jul 17, 2022","247.80","249.80","255.50","246.60","463.53K","-0.80%"
"Jul 16, 2022","249.79","238.50","251.00","233.99","461.48K","4.78%"
"Jul 15, 2022","238.40","238.40","242.51","235.60","484.60K","0.00%"
"Jul 14, 2022","238.40","230.59","239.80","227.11","603.25K","3.39%"
"Jul 13, 2022","230.59","220.60","230.89","216.70","754.34K","4.53%"
"Jul 12, 2022","220.60","225.70","228.30","220.29","427.30K","-2.26%"
"Jul 11, 2022","225.70","234.60","234.90","225.29","435.87K","-3.79%"
"Jul 10, 2022","234.60","243.39","243.49","231.89","412.68K","-3.61%"
"Jul 09, 2022","243.39","240.80","244.90","240.70","281.31K","1.08%"
"Jul 08, 2022","240.80","241.49","247.00","237.19","666.74K","-0.29%"
"Jul 07, 2022","241.50","238.49","243.69","235.40","514.19K","1.22%"
"Jul 06, 2022","238.59","231.09","239.81","229.01","683.51K","3.24%"
"Jul 05, 2022","231.09","231.30","236.60","223.12","731.55K","-0.09%"
"Jul 04, 2022","231.30","219.20","232.11","215.09","543.90K","5.52%"
"Jul 03, 2022","219.20","218.20","219.90","214.22","386.92K","0.46%"
"Jul 02, 2022","218.20","216.90","219.70","213.91","367.35K","0.65%"
"Jul 01, 2022","216.79","219.41","226.80","213.60","862.60K","-1.18%"
"Jun 30, 2022","219.39","219.69","220.19","205.90","829.04K","-0.14%"
"Jun 29, 2022","219.69","227.09","229.70","215.70","755.92K","-3.26%"
"Jun 28, 2022","227.09","233.70","242.31","225.99","669.95K","-2.82%"
"Jun 27, 2022","233.69","233.91","240.79","230.40","508.72K","-0.13%"
"Jun 26, 2022","234.00","239.69","244.99","233.40","491.51K","-2.38%"
"Jun 25, 2022","239.69","240.19","241.90","230.00","521.63K","-0.21%"
"Jun 24, 2022","240.19","228.80","243.09","228.40","745.88K","4.97%"
"Jun 23, 2022","228.81","214.10","230.19","214.10","829.96K","6.87%"
"Jun 22, 2022","214.10","220.10","220.79","211.39","736.67K","-2.73%"
"Jun 21, 2022","220.10","216.50","228.39","213.30","884.07K","1.62%"
"Jun 20, 2022","216.60","215.00","218.71","204.89","928.37K","0.74%"
"Jun 19, 2022","215.00","197.09","216.52","189.80","1.18M","9.09%"
"Jun 18, 2022","197.09","215.70","218.90","184.06","1.52M","-8.63%"
"Jun 17, 2022","215.70","210.10","221.80","207.90","732.05K","2.66%"
"Jun 16, 2022","210.10","233.70","236.82","207.90","1.04M","-10.09%"
"Jun 15, 2022","233.70","223.13","234.49","198.99","2.22M","4.61%"
"Jun 14, 2022","223.40","222.71","231.18","204.61","2.11M","0.31%"
"Jun 13, 2022","222.71","254.90","257.69","213.91","2.63M","-12.63%"
"Jun 12, 2022","254.90","269.71","271.80","251.24","922.74K","-5.49%"
"Jun 11, 2022","269.71","286.29","290.40","265.58","666.56K","-5.79%"
"Jun 10, 2022","286.29","289.90","297.40","283.20","902.83K","-1.25%"
"Jun 09, 2022","289.90","288.40","293.40","286.39","368.85K","0.52%"
"Jun 08, 2022","288.41","290.30","294.57","284.12","561.29K","-0.65%"
"Jun 07, 2022","290.30","295.20","295.72","274.17","1.08M","-1.66%"
"Jun 06, 2022","295.20","298.98","312.11","288.46","821.94K","-1.26%"
"Jun 05, 2022","298.98","301.40","302.40","295.00","306.12K","-0.80%"
"Jun 04, 2022","301.40","297.93","302.80","297.32","326.83K","0.90%"
"Jun 03, 2022","298.70","308.41","310.20","293.49","515.22K","-3.15%"
"Jun 02, 2022","308.41","300.49","309.21","298.38","522.00K","2.63%"
"Jun 01, 2022","300.49","320.79","324.29","297.71","886.64K","-6.33%"
"May 31, 2022","320.79","321.80","324.60","313.61","751.92K","-0.31%"
"May 30, 2022","321.80","305.90","323.70","304.10","1.09M","5.20%"
"May 29, 2022","305.90","307.59","308.01","299.01","551.18K","-0.55%"
"May 28, 2022","307.59","301.45","310.26","297.10","678.02K","2.16%"
"May 27, 2022","301.09","303.19","309.50","291.40","1.60M","-0.70%"
"May 26, 2022","303.20","325.79","331.61","298.31","1.59M","-6.93%"
"May 25, 2022","325.79","328.30","337.39","324.48","1.12M","-0.76%"
"May 24, 2022","328.30","316.98","330.20","313.49","1.16M","3.57%"
"May 23, 2022","316.98","319.31","337.00","315.49","1.08M","-0.72%"
"May 22, 2022","319.30","312.40","323.39","311.70","673.70K","2.21%"
"May 21, 2022","312.40","302.29","314.10","299.50","505.94K","3.35%"
"May 20, 2022","302.28","306.99","315.86","294.39","980.10K","-1.50%"
"May 19, 2022","306.90","287.61","308.90","287.10","724.79K","6.71%"
"May 18, 2022","287.61","306.10","308.30","287.09","767.47K","-6.04%"
"May 17, 2022","306.10","297.02","310.60","296.79","737.17K","3.06%"
"May 16, 2022","297.00","312.20","312.40","290.40","1.01M","-4.87%"
"May 15, 2022","312.20","296.90","312.60","285.90","792.50K","5.15%"
"May 14, 2022","296.90","290.89","299.40","272.40","1.12M","2.07%"
"May 13, 2022","290.89","268.51","313.10","265.60","1.95M","8.34%"
"May 12, 2022","268.51","270.92","284.70","219.98","4.59M","-0.89%"
"May 11, 2022","270.92","319.00","322.70","261.48","3.61M","-15.07%"
"May 10, 2022","318.99","296.31","332.40","289.80","2.31M","7.66%"
"May 09, 2022","296.30","355.79","359.29","296.30","2.28M","-16.74%"
"May 08, 2022","355.88","365.48","366.90","350.58","866.37K","-2.63%"
"May 07, 2022","365.48","379.11","380.60","360.62","632.40K","-3.60%"
"May 06, 2022","379.11","378.48","383.09","370.69","818.35K","0.14%"
"May 05, 2022","378.57","402.51","412.81","374.66","1.35M","-5.95%"
"May 04, 2022","402.51","383.80","403.09","382.88","651.20K","4.88%"
"May 03, 2022","383.79","389.50","392.20","379.89","423.70K","-1.47%"
"May 02, 2022","389.50","389.91","392.39","382.39","487.85K","-0.10%"
"May 01, 2022","389.89","376.99","391.30","376.00","632.32K","3.42%"
"Apr 30, 2022","377.01","392.99","399.80","376.69","634.84K","-4.07%"
"Apr 29, 2022","392.99","407.19","410.59","390.10","781.51K","-3.49%"
"Apr 28, 2022","407.19","391.31","408.41","388.51","1.03M","4.06%"
"Apr 27, 2022","391.31","385.91","394.61","383.60","633.90K","1.40%"
"Apr 26, 2022","385.91","404.30","407.31","381.21","689.80K","-4.55%"
"Apr 25, 2022","404.30","398.89","405.41","383.00","935.57K","1.35%"
"Apr 24, 2022","398.90","401.12","405.39","397.78","368.20K","-0.55%"
"Apr 23, 2022","401.10","406.60","407.99","398.58","392.09K","-1.35%"
"Apr 22, 2022","406.60","405.00","413.81","403.52","621.07K","0.40%"
"Apr 21, 2022","405.00","418.29","425.81","401.72","830.74K","-3.18%"
"Apr 20, 2022","418.29","422.20","431.12","415.20","749.98K","-0.93%"
"Apr 19, 2022","422.20","416.82","424.53","414.79","663.87K","1.29%"
"Apr 18, 2022","416.82","406.79","418.01","396.41","690.23K","2.46%"
"Apr 17, 2022","406.81","417.10","418.20","405.71","338.55K","-2.47%"
"Apr 16, 2022","417.10","417.22","418.70","411.70","272.23K","-0.03%"
"Apr 15, 2022","417.22","414.70","419.99","412.69","389.03K","0.61%"
"Apr 14, 2022","414.70","423.11","426.89","411.62","529.98K","-1.98%"
"Apr 13, 2022","423.08","413.67","424.49","410.61","724.41K","2.28%"
"Apr 12, 2022","413.67","394.22","416.60","392.57","821.33K","4.94%"
"Apr 11, 2022","394.20","417.82","419.60","391.87","962.78K","-5.65%"
"Apr 10, 2022","417.82","426.83","429.41","417.47","432.81K","-2.11%"
"Apr 09, 2022","426.83","421.58","428.20","419.81","414.75K","1.24%"
"Apr 08, 2022","421.60","436.31","440.71","418.91","769.82K","-3.37%"
"Apr 07, 2022","436.31","420.19","438.49","416.88","803.59K","3.84%"
"Apr 06, 2022","420.19","444.60","444.60","418.55","1.03M","-5.49%"
"Apr 05, 2022","444.60","447.83","459.98","444.29","838.17K","-0.73%"
"Apr 04, 2022","447.87","450.31","450.50","433.63","840.54K","-0.54%"
